"","wavenumber","intensity","sample_name","group"
"6252482",300,0,5189,5189
"6252690",301,0,5189,5189
"6252898",302.1,0,5189,5189
"6253106",303.1,0,5189,5189
"6253314",304.1,0,5189,5189
"6253522",305.1,0,5189,5189
"6253730",306.2,0,5189,5189
"6253938",307.2,0,5189,5189
"6254146",308.2,0,5189,5189
"6254354",309.2,0,5189,5189
"6254562",310.3,0,5189,5189
"6254770",311.3,0.001,5189,5189
"6254978",312.3,0,5189,5189
"6255186",313.3,0.001,5189,5189
"6255394",314.4,0,5189,5189
"6255602",315.4,0,5189,5189
"6255810",316.4,0.001,5189,5189
"6256018",317.4,0.001,5189,5189
"6256226",318.5,0.001,5189,5189
"6256434",319.5,0.001,5189,5189
"6256642",320.5,0.001,5189,5189
"6256850",321.5,0.001,5189,5189
"6257058",322.6,0.001,5189,5189
"6257266",323.6,0,5189,5189
"6257474",324.6,0,5189,5189
"6257682",325.6,0.001,5189,5189
"6257890",326.7,0,5189,5189
"6258098",327.7,0.001,5189,5189
"6258306",328.7,0.001,5189,5189
"6258514",329.8,0.001,5189,5189
"6258722",330.8,0.001,5189,5189
"6258930",331.8,0.001,5189,5189
"6259138",332.8,0.001,5189,5189
"6259346",333.9,0.001,5189,5189
"6259554",334.9,0.001,5189,5189
"6259762",335.9,0.001,5189,5189
"6259970",336.9,0.001,5189,5189
"6260178",338,0.001,5189,5189
"6260386",339,0.001,5189,5189
"6260594",340,0.001,5189,5189
"6260802",341,0.001,5189,5189
"6261010",342.1,0.001,5189,5189
"6261218",343.1,0.001,5189,5189
"6261426",344.1,0.001,5189,5189
"6261634",345.1,0.001,5189,5189
"6261842",346.2,0.001,5189,5189
"6262050",347.2,0.001,5189,5189
"6262258",348.2,0.001,5189,5189
"6262466",349.2,0.002,5189,5189
"6262674",350.3,0.002,5189,5189
"6262882",351.3,0.002,5189,5189
"6263090",352.3,0.002,5189,5189
"6263298",353.3,0.002,5189,5189
"6263506",354.4,0.001,5189,5189
"6263714",355.4,0.001,5189,5189
"6263922",356.4,0.001,5189,5189
"6264130",357.4,0.001,5189,5189
"6264338",358.5,0.001,5189,5189
"6264546",359.5,0.001,5189,5189
"6264754",360.5,0.001,5189,5189
"6264962",361.6,0.001,5189,5189
"6265170",362.6,0.001,5189,5189
"6265378",363.6,0.001,5189,5189
"6265586",364.6,0.001,5189,5189
"6265794",365.7,0.001,5189,5189
"6266002",366.7,0.002,5189,5189
"6266210",367.7,0.001,5189,5189
"6266418",368.7,0.001,5189,5189
"6266626",369.8,0.001,5189,5189
"6266834",370.8,0.001,5189,5189
"6267042",371.8,0.001,5189,5189
"6267250",372.8,0.001,5189,5189
"6267458",373.9,0.001,5189,5189
"6267666",374.9,0.001,5189,5189
"6267874",375.9,0.001,5189,5189
"6268082",376.9,0.001,5189,5189
"6268290",378,0.001,5189,5189
"6268498",379,0,5189,5189
"6268706",380,0,5189,5189
"6268914",381,0.001,5189,5189
"6269122",382.1,0.001,5189,5189
"6269330",383.1,0.001,5189,5189
"6269538",384.1,0.001,5189,5189
"6269746",385.1,0,5189,5189
"6269954",386.2,0.001,5189,5189
"6270162",387.2,0,5189,5189
"6270370",388.2,0.001,5189,5189
"6270578",389.3,0.001,5189,5189
"6270786",390.3,0.001,5189,5189
"6270994",391.3,0.001,5189,5189
"6271202",392.3,0.001,5189,5189
"6271410",393.4,0.001,5189,5189
"6271618",394.4,0.001,5189,5189
"6271826",395.4,0.001,5189,5189
"6272034",396.4,0.001,5189,5189
"6272242",397.5,0.001,5189,5189
